Quadrant,n,Joint width,Pheno-only,MIE-only,Coverage,Interval_lt_global_n,Interval_lt_global_denom
Pheno+ MIE+,751,1.2098448167032603,1.303313226223451,1.4171710604481915,0.9094540612516645,738,751
Pheno+ MIE-,524,1.4230198714396745,1.3821624583452565,1.538077360465186,0.898854961832061,351,524
Pheno- MIE+,544,1.590008750396912,1.6515258463294373,1.4182873209674423,0.8988970588235294,187,544
Pheno- MIE-,711,1.6610614167281414,1.6904886772539067,1.5757248788321654,0.890295358649789,57,711
