group,Baseline,Plain,BBB pass,ADME
Fingerprints,0.2618017685124221,0.2624986862767315,0.18636979373522927,0.09066703022726606
Proteins,0.07958455323492108,,0.07591019847511873,0.03466442989493302
PhysChem,0.20702077698899438,0.23600598384846103,0.16697195682394983,0.1350083691767808
ADME,,,,0.23096813181529285
