group,Baseline,PCA,ADME,Plain,BBB pass
Fingerprints,0.2618017685124221,0.27748410883251723,0.09066703022726606,0.2624986862767315,0.18636979373522927
Proteins,0.07958455323492108,0.04652448154486364,0.03466442989493302,,0.07591019847511873
PhysChem,0.20702077698899438,0.23109613726078698,0.1350083691767808,0.23600598384846103,0.16697195682394983
ADME,,,0.23096813181529285,,
