ligand_id,mean_E_44,admet_toxic_burden,local_interval_width_90,local_neff,pred_lgld50_plain
1,-4.1022727272727275,2.0004989062435925,1.967002605334911,165.2416714402455,3.1369445527474737
2,-4.9409090909090905,1.6898550391197205,1.6205109064869267,591.5983698270716,2.983135355731587
3,-6.563636363636366,0.9452578127384185,1.6849585296757938,596.5803997758538,2.9799859305681826
4,-6.554545454545456,1.2684063911437988,1.6254547384778677,828.167795958977,3.276275310137784
5,-4.336363636363637,1.0000078580217917,2.0016429461344067,161.62400469296375,3.318385012088917
6,-6.05,1.2857457175850868,1.6341779817077535,678.3529557537296,3.1272083116312874
8,-6.984090909090912,1.0804918184876442,1.6671960793940954,653.7326000283477,3.2151420078998525
9,-6.699999999999999,0.8553996980190277,1.6671960793940954,543.9173080453326,3.1304024754694115
10,-6.6409090909090915,1.3873577415943146,1.6266187279999187,775.1829879360554,3.524265123690581
11,-6.752272727272728,1.1367477998137474,1.6664906587850705,752.8283155117571,3.1421944243165836
12,-7.1636363636363605,1.32904714345932,1.5508273564409576,482.0493050573696,3.3974913729339677
13,-6.638636363636365,1.639151334762573,1.5390992836156174,811.5628284529826,3.8089882193688913
14,-8.095348837209302,1.0501312427222729,1.7633815456128854,449.0985158978594,3.54409388690951
15,-7.629545454545453,1.4264211356639862,1.5194550554123394,539.6786820402812,3.9223239903546414
16,-7.122727272727272,1.1398030519485474,1.6254547384778677,633.0526541291421,4.60043423541801
18,-8.22142857142857,1.1674968712031841,1.6849585296757938,483.16283937158374,4.449639891229856
19,-8.16046511627907,0.5515638701617717,1.766267769820625,223.53886263616099,2.7642349664409616
20,-8.490000000000002,0.7519951108843088,1.9178521484965128,278.7765730649101,4.811019066556524
21,-8.092857142857142,0.2015610486268996,1.5919067843262313,100.98851597966804,2.6740832022821537
22,-5.742499999999999,1.0525866858661173,1.6671960793940954,375.230019847774,3.903490765148135
23,-8.206666666666663,2.474189817905426,1.0316191806847819,534.2868319337692,4.456196997183227
24,-6.457575757575757,1.103218462318182,1.636603347018859,716.0238445162753,5.859649732302953
25,-6.85813953488372,0.2906885817646979,1.6598970234155663,179.94622132644105,3.918094999390424
26,-7.787804878048778,1.6181667149066923,1.5390992836156174,637.8694563126774,4.185716881032556
27,-6.936585365853658,0.1941774943843482,1.6069372472537413,124.39525881737592,3.329696763992375
28,-7.320930232558137,2.2723009288311005,1.252636668309206,881.3685517195019,3.819771109584958
29,-8.144186046511626,1.667167067527771,1.4487165671701874,714.2741797370687,3.7170485074534283
30,-7.060465116279071,0.2374662961810825,1.6598970234155663,143.0463932459655,3.337088708232705
31,-8.54418604651163,1.8280484080314636,1.4708169747035633,649.5227969380785,4.2005263897264316
32,-9.234883720930233,1.2573497965931892,1.3015019900911016,98.51213810493762,3.8380118865680974
33,-7.96046511627907,1.9219153225421906,1.3857021446615745,789.6044193320506,3.970626247119446
34,-7.576744186046512,0.4141302108764647,1.6598970234155663,150.25132834805535,3.5824068347991473
35,-8.506976744186046,1.3407395780086517,1.7633815456128854,309.2443754556646,4.004527790162952
36,-7.483720930232559,1.2435720898211002,1.5987865958324736,485.30243835819675,3.5369945939665013
37,-9.627906976744185,1.7635696232318878,1.5266182849180794,333.66323574353316,4.125250357829177
39,-7.451162790697674,1.0801668670028448,1.7042486878103507,234.39507147303416,3.3097434617500374
40,-7.909302325581394,1.7602559477090836,1.4385862746478377,670.8299777701435,4.310956158698499
41,-8.081818181818178,1.8467058539390564,1.4062329371594,653.8187313300265,3.98826436257268
42,-8.76046511627907,1.190288007259369,1.751203690443968,414.9267511143259,3.3716320819926553
43,-8.756818181818183,1.0663523636758327,1.9148808064639828,261.748448730685,2.994584978543256
44,-6.604545454545454,0.5681231785565615,1.6069372472537413,250.45363629252128,3.4281576276100654
45,-8.241860465116279,1.0098018050193787,1.7042486878103507,223.3276966203501,3.7233332305980413
46,-7.776744186046511,1.3125272076576948,1.6254547384778677,698.0143719956707,3.5178599947913347
47,-5.581818181818182,1.1280441507697105,1.63098271244096,341.4464641416973,3.2982860741629314
48,-7.777272727272728,1.2461851984262464,1.6254547384778677,641.6234239783912,3.5244542708258413
49,-7.745454545454547,0.9171938505023716,1.7536295387546001,475.5088471506544,3.5522969173176633
50,-8.372727272727273,1.1695063114166258,1.8712360139335535,353.93657059076344,3.3358969986392606
51,-5.388636363636364,1.754418432712555,1.6205109064869267,689.7441820030751,3.1117586948517277
52,-7.679545454545453,1.2032595947384834,1.3993770820625784,130.63888226575133,3.583699358477641
53,-7.724999999999998,1.1103735417127607,1.6849585296757938,231.29795852890814,3.638030889039521
54,-5.59318181818182,1.0786096788942814,1.6664906587850705,353.937173523875,3.2693471337461695
55,-7.675000000000001,1.7455413043498993,1.4391016639896916,804.1516517714937,3.9313362380245533
56,-6.488636363636362,1.734076701104641,1.5431512949954715,747.0046727555323,3.275590111445831
57,-7.443181818181819,1.4043906219303606,1.6341779817077535,692.9405856168552,3.4907259435603306
58,-4.970454545454546,1.4204004257917404,1.7582299544898117,517.543047930636,4.766060544469296
59,-6.093181818181816,0.5455553289502858,1.5390992836156174,299.51489162362276,2.5484520209635306
60,-6.340909090909091,0.6430411040782927,1.751203690443968,291.2884249896182,2.9973722749007266
62,-6.211363636363638,1.4777760654687881,1.6266187279999187,806.5816828853208,3.5558885006979772
63,-4.622727272727273,0.104141400195658,1.5282488352089167,61.58167073971489,2.467183944885254
64,-6.968181818181819,0.9920700639486313,1.6671960793940954,592.7994079106724,2.9804248941682507
65,-5.463636363636363,0.6868633627891538,1.6671960793940954,283.68338359872126,2.5391679877456057
66,-5.725,1.4413584843277931,1.6205109064869267,649.8798928052802,3.3719253861117853
67,-6.056818181818183,0.9967144895344972,1.627870306983552,558.4498817456528,2.5497316316690455
68,-6.7250000000000005,1.5737966448068619,1.5282488352089167,814.9030423707767,3.3095965410856882
69,-4.461363636363636,0.8521774988621473,1.7993249935731468,273.7230913482685,2.326476738816643
70,-6.3045454545454565,0.9514163536950946,1.6205109064869267,363.5148539312681,3.1469314687911583
71,-3.4681818181818183,0.2454613242298363,1.5282488352089167,29.364553193393444,2.3740520685375617
72,-8.019047619047617,1.8402287065982819,1.4416554844077965,813.023149209654,3.5769086226821454
73,-7.437209302325583,0.23153080046176888,1.6069372472537413,124.15340367408487,3.1673249764704354
74,-6.276190476190475,1.1353320814669132,1.6254547384778677,379.2109917950715,4.037958697652029
75,-5.822727272727272,1.3051032721996307,1.627870306983552,591.2344105381951,3.3955699805745274
76,-7.351162790697677,0.0691866632550953,1.5919067843262313,99.8555650732406,2.8509258281021137
77,-4.588636363636364,0.6793425753712654,1.724463354331553,191.60925425438637,2.8183391747173876
78,-4.659090909090909,1.2629169560968876,1.823466651119091,418.9106593886966,2.337655951209168
79,-8.429545454545455,2.725892961025238,1.0780122818948135,457.27488211169754,3.9348725047661723
80,-7.995454545454546,2.2808982133865356,1.1610218663326108,755.0837838528021,3.400237303523779
81,-9.027906976744186,2.7613459825515747,1.0387886663831898,312.77945878567664,3.9168566151516475
82,-8.281395348837208,2.985348641872406,1.0727362188801308,369.45556494231613,4.06351112929499
